"district","year","week","total_suspected"
"Bunyangabu District",2022,40,1675
"Bunyangabu District",2022,41,1606
"Bunyangabu District",2022,42,1517
"Bunyangabu District",2022,43,1335
"Bunyangabu District",2022,44,1057
"Bunyangabu District",2022,47,555
"Bunyangabu District",2022,48,671
"Bunyangabu District",2022,49,748
"Bunyangabu District",2022,5,1827
"Bunyangabu District",2022,50,589
"Bunyangabu District",2022,51,517
"Bunyangabu District",2022,52,461
"Bunyangabu District",2022,6,1917
"Bunyangabu District",2022,7,1788
"Bunyangabu District",2022,8,1888
"Bunyangabu District",2022,9,1551
"Bunyangabu District",2023,1,554
"Kikuube District",2022,10,4477
"Kikuube District",2022,12,2302
"Kikuube District",2022,13,965
